uri,child_id,group,DER,JER,Purity,Coverage,F-measure,DetER,IER,IER_miss,IER_FA,IER_confusion,F1_KCHI,P_KCHI,R_KCHI,F1_FEM,P_FEM,R_FEM,F1_MAL,P_MAL,R_MAL,F1_OCH,P_OCH,R_OCH,AvgF1
AR31_021108a,AR31,HI,0.5274,0.5518,0.883,0.4851,0.6262,0.4581,0.5274,0.4579,0.0125,0.057,0.6496,0.9068,0.5061,0.5997,0.8459,0.4645,0.0,0.0,0.0,0.0,0.0,0.0,0.3123
AR31_021108b,AR31,HI,0.575,0.5786,0.8984,0.4324,0.5838,0.5217,0.575,0.5222,0.0074,0.0454,0.5323,0.922,0.3742,0.6468,0.8638,0.5169,0.0,0.0,0.0,0.0,0.0,0.0,0.2948
AR31_021108c,AR31,HI,0.5381,0.586,0.8206,0.4642,0.593,0.4346,0.5381,0.4344,0.0024,0.1014,0.5512,0.7884,0.4237,0.6202,0.8378,0.4923,0.0,0.0,0.0,0.0,0.0,0.0,0.2928
BE05_021023a,BE05,NH,0.4886,0.5077,0.827,0.5601,0.6679,0.3387,0.4886,0.3387,0.0486,0.1012,0.5784,0.833,0.443,0.7369,0.7914,0.6895,0.0,0.0,0.0,0.6944,0.8391,0.5922,0.5024
BE05_021023b,BE05,NH,0.6193,0.6346,0.6509,0.4609,0.5397,0.3398,0.6193,0.3465,0.0508,0.222,0.5688,0.5617,0.5761,0.6874,0.7087,0.6674,0.0,0.0,0.0,0.3818,0.834,0.2476,0.4095
BE05_021023c,BE05,NH,0.5534,0.5758,0.8308,0.4659,0.597,0.4335,0.5534,0.4377,0.0193,0.0965,0.5901,0.7723,0.4774,0.0,0.0,0.0,0.0,0.0,0.0,0.6166,0.8783,0.4751,0.3017
BN31_020108a,BN31,HI,0.7455,0.8273,0.8284,0.2606,0.3965,0.6905,0.7455,0.6903,0.0061,0.0491,0.3832,0.7964,0.2523,0.4411,0.8771,0.2946,0.0,0.0,0.0,0.0,0.0,0.0,0.2061
BN31_020108b,BN31,HI,0.613,0.6309,0.8702,0.3903,0.5389,0.5547,0.613,0.5547,0.0033,0.055,0.5275,0.8387,0.3847,0.5508,0.9039,0.3961,0.0,0.0,0.0,0.0,0.0,0.0,0.2696
BN31_020108c,BN31,HI,0.7157,0.7893,0.7711,0.3229,0.4552,0.6309,0.7365,0.6383,0.0291,0.0691,0.5876,0.7296,0.4918,0.1114,1.0,0.059,0.268,0.8993,0.1575,0.2207,0.7237,0.1302,0.2969
BS80_020919a,BS80,NH,0.5517,0.7093,0.8134,0.4731,0.5982,0.431,0.5517,0.431,0.0184,0.1023,0.5802,0.8631,0.437,0.6333,0.7495,0.5483,0.0,0.0,0.0,0.0,0.0,0.0,0.3034
